date,base_fee_gwei,eth_price_usd,standard_tx_cost_usd,complex_tx_cost_usd,daily_total_cost_usd
2021-08-05,56.837424058,2827.328857,3.374659873131318,24.104713379509416,15177914.635510689
2021-08-06,37.691852775,2890.94165,2.2882638881112274,16.34474205793734,10878385.551597416
2021-08-07,41.270915634,3157.23877,2.7363448331743423,19.54532023695959,13228670.062243966
2021-08-08,33.111003622,3013.732666,2.09554197761298,14.968156982949857,10030189.445874607
2021-08-09,39.045748997,3167.856201,2.5975176797395556,18.553697712425397,12450598.67677359
2021-08-10,42.001354075,3141.691162,2.7710609406786637,19.79329243341903,13293630.266794242
2021-08-11,47.878370684,3164.245117,3.1814769135820216,22.72483509701444,15003307.311233463
2021-08-12,40.78453514,3043.414307,2.6066089927378253,18.618635662413038,12489168.033295037
2021-08-13,41.976825151,3322.21167,2.928573866110236,20.918384757930255,13964732.533794701
2021-08-14,38.406683091,3265.443359,2.633711813055194,18.81222723610853,12607020.092533903
2021-08-15,31.885542294,3310.50415,2.2167016218750377,15.833583013393127,10490206.243081667
2021-08-16,43.465535599,3156.509521,2.8811869160257664,20.57990654304119,13781107.610748298
2021-08-17,39.429423235,3014.845947,2.4963463734843345,17.831045524888108,11968295.261811139
2021-08-18,34.627246623,3020.089844,2.1961253128879177,15.68660937777084,10337681.41953466
2021-08-19,29.397531576,3182.702148,1.9648353247494934,14.034538033924953,9478436.50973265
2021-08-20,32.262219565,3286.935303,2.226920397268052,15.906574266200371,10598032.832476202
2021-08-21,27.55881642,3226.083984,1.8670481816817224,13.336058440583733,8869025.023835834
2021-08-22,27.760029878,3242.115479,1.890025673864292,13.500183384744943,9097531.077475453
2021-08-23,51.215882334,3319.257324,3.569972543387286,25.49980388133776,16878871.026810974
2021-08-24,66.516922926,3172.456299,4.43146265366041,31.653304669002935,21236798.48255836
2021-08-25,77.449296233,3224.915283,5.245115800667316,37.4651128619094,24841225.493718073
2021-08-26,74.266203663,3100.325439,4.835237409961432,34.53741007115308,23127855.79002062
2021-08-27,79.772786764,3270.60083,5.479003794636779,39.135741390262716,25963141.810786698
2021-08-28,63.875627462,3244.40332,4.3520042539007155,31.085744670719397,20617889.36120616
2021-08-29,64.779772767,3227.002686,4.389934515069151,31.356675107636796,20964743.12063121
2021-08-30,80.088147589,3224.374268,5.422917407412915,38.735124338663674,25805399.09605917
2021-08-31,90.790099045,3433.732666,6.5467275056440295,46.76233932602879,31046548.90110245
2021-09-01,98.028192047,3834.828125,7.894346625999475,56.388190185710535,37459425.16417646
2021-09-02,90.493390771,3790.98999,7.204250310054407,51.45893078610291,34641993.30379987
2021-09-03,122.524335484,3940.614746,10.139245266194132,72.42318047281522,48218796.77711403
2021-09-04,98.792118802,3887.828369,8.065822844352711,57.61302031680508,38215695.22365652
2021-09-05,88.660391153,3952.133545,7.358351825760443,52.55965589828888,35429979.85588004
2021-09-06,94.438631318,3928.379395,7.79080624059429,55.648616004244936,37011625.33429363
2021-09-07,100.605075227,3426.394287,7.238965755020958,51.706898250149706,34140596.598265514
2021-09-08,106.32496952,3497.315186,7.808890541618945,55.77778958299247,37269170.26878779
2021-09-09,103.336511336,3427.340088,7.437556724974724,53.125405178390885,35368380.75211951
2021-09-10,82.258820239,3211.505859,5.547668346191502,39.62620247279644,26330201.360222343
2021-09-11,59.084059091,3270.278076,4.057647364814102,28.98319546295787,19096606.95848193
2021-09-12,51.614022094,3410.134521,3.6962259287185284,26.401613776560914,17791943.28552491
2021-09-13,61.327160063,3285.511719,4.231313164679481,30.22366546199629,19963433.15656871
2021-09-14,50.927814638,3429.169678,3.6674424721921177,26.196017658515125,17427733.152508225
2021-09-15,55.731606364,3615.282715,4.231195776506016,30.22282697504298,20089117.19638434
2021-09-16,63.546393634,3571.294922,4.7658011708268635,34.041436934477595,22733247.613364805
2021-09-17,61.313296018,3398.538818,4.3758879481106545,31.256342486504675,20816398.443889644
2021-09-18,47.017884636,3432.018311,3.3886910613199888,24.204936152285633,16070155.584568862
2021-09-19,43.680963857,3329.447998,3.0541034509523795,21.81502464965985,14642587.27343229
2021-09-20,71.181598321,2958.993408,4.4231434842576,31.59388203041143,20914130.456547733
2021-09-21,72.407487125,2764.431152,4.2034757739741675,30.024826956958343,20036335.552456208
2021-09-22,55.812023195,3077.86792,3.6074227505859144,25.76730536132796,17069707.401988294
2021-09-23,61.094574326,3155.523682,4.048492898675446,28.917806419110327,19046423.60982833
2021-09-24,61.945854911,2931.669189,3.8136998388057037,27.240713134326455,18067659.23028703
2021-09-25,40.1873391,2925.565674,2.468984695807519,17.63560497005371,11925075.940425303
2021-09-26,51.518174659,3062.265381,3.3130087777619113,23.664348412585078,15575787.87034892
2021-09-27,66.580046577,2934.138916,4.102457219504034,29.30326585360024,19470726.863986015
2021-09-28,74.424723842,2807.296631,4.387577806599792,31.3398414757128,20500671.300003253
2021-09-29,65.573884101,2853.143311,3.928925464780205,28.06375331985861,18526638.914732475
2021-09-30,76.484026978,3001.678955,4.821190377643812,34.43707412602723,22489413.48773182
2021-10-01,74.620858353,3307.516113,5.183003518737201,37.02145370526572,24666293.239264548
2021-10-02,54.086738283,3391.694336,3.8523593616304743,27.51685258307482,18089179.31589703
2021-10-03,51.440018742,3418.358643,3.6926490859187515,26.376064899419653,17277192.21976831
2021-10-04,79.919184605,3380.089111,5.672813278510546,40.520094846503895,26613940.592196718
2021-10-05,98.255004355,3518.518555,7.25995317483814,51.856808391701,34138853.57538923
2021-10-06,122.055373265,3580.562012,9.177563490335928,65.55402493097091,43368309.83230728
2021-10-07,121.4558113,3587.974854,9.15138833314795,65.36705952248535,42516668.36813137
2021-10-08,99.6147156,3563.759277,7.455060203749548,53.250430026782496,35173890.03992257
2021-10-09,72.272942798,3575.716797,5.426979086160005,38.76413632971432,25318915.98546358
2021-10-10,65.459019515,3425.852783,4.709312247736195,33.63794462668711,22083444.675792173
2021-10-11,91.890106334,3545.354004,6.8414420848038855,48.8674434628849,32149175.000234473
2021-10-12,79.528004079,3492.573242,5.832904959755627,41.66360685539734,27230304.86344952
2021-10-13,87.004158487,3606.20166,6.588845356017173,47.06318111440837,30664299.64593654
2021-10-14,104.253287715,3786.01416,8.288792893826425,59.20566352733161,38584203.54175045
2021-10-15,114.070001274,3862.634766,9.25282580625095,66.09161290179252,42986128.98194301
2021-10-16,77.251983916,3830.38208,6.213996911562187,44.385692225444195,29408535.480851732
2021-10-17,66.777602796,3847.104492,5.394908729311151,38.5350623522225,25335404.82899076
2021-10-18,74.651725154,3748.760254,5.876879823146791,41.97771302247708,27275089.098276924
2021-10-19,63.200254011,3877.650879,5.146438930894326,36.760278077816615,24361007.153569784
2021-10-20,66.122039243,4155.992188,5.770856249519286,41.22040178228062,26979073.029731974
2021-10-21,74.656264819,4054.322754,6.356292456870748,45.402088977648205,30302080.924326856
2021-10-22,70.881028135,3970.181885,5.9096220517267986,42.21158608376285,27875746.828634355
2021-10-23,59.004205786,4171.663574,5.169059615795381,36.921854398538436,24151903.40458271
2021-10-24,59.810056363,4087.903076,5.134451981022863,36.67465700730616,24018391.567037158
